Trial,N_sys,Routes,d1,Cost_ON,Cost_OFF,CostMatch,Nodes_ON,Nodes_OFF,Leaves_ON,Leaves_OFF,Time_ON,Time_OFF,Timeout_ON,Timeout_OFF
1,5,[4 3 7 9 6],[2.94 2.05 1.44 1.18 1.03 ],0.518955013526821,0.518955013526821,YES,25,73,2,10,0.268958,0.1722283,0,0
2,5,[6 1 5 9 3],[0.53 1.59 1.60 1.90 2.55 ],1.35536585042726,1.35536585042726,YES,36,73,5,18,0.0950459,0.1325451,0,0
3,5,[8 9 4 5 3],[0.88 1.89 0.28 1.30 1.29 ],2.77923473204802,2.99383656865056,NO,52,279,9,61,0.0825117,0.1715014,0,0
4,4,[6 4 6 11],[2.83 1.51 1.87 0.35 ],0.662875635510394,0.662875635510394,YES,24,48,4,11,0.0172773,0.0160078,0,0
5,4,[5 11 4 6],[2.96 1.56 1.84 0.36 ],0,0,YES,13,13,1,1,0.0035323,0.0013932,0,0
6,6,[8 7 5 4 6 9],[2.63 1.53 2.01 1.76 1.87 2.02 ],NaN,NaN,N/A,4182,6357,0,0,30.0125762,30.0022729,1,1
7,6,[1 10 3 3 7 2],[2.66 1.88 2.17 0.05 1.78 1.67 ],4.32810634635342,NaN,N/A,5253,4721,322,0,26.4063598,30.0017659,0,1
8,3,[2 9 4],[2.08 1.66 1.17 ],0,0,YES,10,10,1,1,0.0031284,0.0035446,0,0
9,6,[11 5 1 4 5 9],[2.99 1.07 2.29 1.78 2.08 0.45 ],3.07684522711775,NaN,N/A,407,5096,49,0,0.4004268,30.0169593,0,1
10,4,[3 5 7 8],[0.32 0.39 0.97 1.98 ],1.12530210361377,1.12530210361377,YES,44,73,7,16,0.0616648,0.0562349,0,0
11,6,[7 11 5 4 5 3],[2.49 1.02 1.66 1.74 1.56 0.01 ],2.85411039559196,NaN,N/A,385,4188,44,0,0.4405083,30.0049413,0,1
12,6,[11 3 4 7 11 12],[0.77 1.69 2.42 1.18 2.19 0.48 ],3.01429933829833,NaN,N/A,1096,4967,197,0,3.0250061,30.0022567,0,1
13,5,[11 12 1 6 3],[1.35 1.64 0.28 0.89 2.78 ],1.21624141229769,1.21624141229769,YES,28,134,4,31,0.0208593,0.0484936,0,0
14,5,[6 10 9 1 9],[2.52 0.50 2.34 0.86 0.92 ],1.03426389981308,1.03426389981308,YES,37,230,6,57,0.0316089,0.1241028,0,0
15,5,[2 8 11 9 6],[1.31 2.30 1.70 0.25 1.75 ],0.218768273849991,0.218768273849991,YES,20,47,2,8,0.0099971,0.0211491,0,0
16,6,[5 12 10 7 10 1],[2.58 2.46 2.73 0.39 0.25 0.42 ],2.5893977504843,NaN,N/A,1928,6142,224,0,3.0451365,30.0183519,0,1
17,4,[6 7 2 3],[2.43 1.40 2.42 0.02 ],0.449055579485687,0.449055579485687,YES,16,22,2,4,0.0201467,0.0180222,0,0
18,5,[12 7 3 9 5],[2.01 0.09 1.91 0.10 2.23 ],1.03434374597531,1.03434374597531,YES,36,140,4,27,0.0374017,0.1077151,0,0
19,4,[2 7 1 8],[2.99 2.31 1.72 0.31 ],0.19852849315204,0.19852849315204,YES,40,46,5,7,0.0317978,0.0095328,0,0
20,5,[8 1 10 7 6],[2.36 1.23 1.44 0.54 0.96 ],1.66637334858732,1.66637334858732,YES,322,746,32,142,0.2842713,0.8975996,0,0
21,6,[3 6 12 3 12 12],[0.27 1.39 1.51 0.94 0.14 0.73 ],0.52680613576489,0.52680613576489,YES,112,4295,22,1535,0.1370012,26.3079585,0,0
22,3,[3 10 11],[0.13 0.91 2.94 ],0,0,YES,10,10,1,1,0.0011173,0.0013595,0,0
23,5,[8 1 6 12 5],[0.29 1.39 2.89 1.03 2.40 ],1.71783548034949,1.7974188899051,NO,43,2584,6,656,0.0203098,5.9198628,0,0
24,6,[3 6 9 5 3 12],[1.95 2.60 0.08 0.80 1.51 0.20 ],0.339360364948798,0.339360364948798,YES,19,27,2,5,0.005183,0.0064241,0,0
25,6,[3 5 3 2 3 4],[1.90 0.84 1.09 0.02 1.10 1.60 ],3.90506381085642,NaN,N/A,3990,6579,691,0,11.7902366,30.0017492,0,1
26,3,[8 4 8],[0.08 2.66 0.05 ],0.96976607551759,0.96976607551759,YES,17,17,2,2,0.0054904,0.0032623,0,0
27,3,[10 1 9],[2.91 2.62 2.13 ],0.487308541293988,0.487308541293988,YES,13,13,2,2,0.0060751,0.0039685,0,0
28,6,[6 11 5 12 2 12],[2.50 2.54 0.37 1.79 0.05 2.16 ],1.55598985464559,NaN,N/A,250,5757,42,0,0.1096633,30.0107426,0,1
29,3,[2 3 11],[1.09 1.62 1.70 ],0.642666624228514,0.642666624228514,YES,20,35,4,9,0.0047726,0.0088578,0,0
30,3,[7 8 4],[1.26 1.36 2.80 ],0.682011966699134,0.682011966699134,YES,23,23,3,3,0.0088352,0.0051638,0,0
31,5,[12 7 7 1 6],[2.78 0.60 0.16 1.22 1.12 ],2.16977854076257,2.16977854076257,YES,70,5645,8,1263,0.0337238,28.6630686,0,0
32,6,[1 12 9 11 8 10],[1.01 1.05 1.17 2.26 1.11 0.73 ],3.31926464087389,NaN,N/A,3190,6908,404,0,7.0452141,30.0258345,0,1
33,6,[11 5 8 4 3 5],[0.98 2.65 2.47 2.13 2.88 1.27 ],3.23434107339891,NaN,N/A,509,5986,68,0,0.3641515,30.0017318,0,1
34,3,[2 4 2],[0.28 1.81 1.09 ],1.43715580821756,1.43715580821756,YES,36,92,6,19,0.0115309,0.0231904,0,0
35,5,[3 9 3 4 9],[1.68 1.00 1.63 2.08 2.74 ],0.735150824098893,0.735150824098893,YES,22,114,2,24,0.0046277,0.0242807,0,0
36,5,[3 9 10 3 10],[1.39 2.34 0.71 1.00 2.86 ],0.388334408381999,0.388334408381999,YES,26,42,2,4,0.005703,0.0088304,0,0
37,5,[10 9 3 6 10],[2.03 0.02 0.26 1.04 2.83 ],0,0,YES,15,15,1,1,0.001473,0.0011561,0,0
38,4,[4 5 3 6],[0.65 2.54 1.37 0.84 ],0.600098426738562,0.600098426738562,YES,20,46,2,7,0.0029134,0.0073394,0,0
39,6,[4 11 1 9 6 6],[0.11 0.12 1.00 2.84 1.85 1.11 ],1.16283147738448,1.16283147738448,YES,59,5376,6,1,0.0374933,30.0071921,0,1
40,5,[3 2 5 11 7],[0.89 2.85 2.45 0.97 2.92 ],0.371961583280074,0.371961583280074,YES,55,691,6,165,0.0246927,0.5649289,0,0
41,6,[5 8 5 4 1 4],[0.81 1.20 0.55 2.86 0.31 1.88 ],NaN,NaN,N/A,5578,6952,0,0,30.0075135,30.0007536,1,1
42,4,[6 5 11 4],[0.06 2.75 2.59 0.83 ],0.626301558490159,0.626301558490159,YES,38,70,4,10,0.0297233,0.0332557,0,0
43,5,[2 2 11 5 8],[2.83 0.74 0.04 0.07 2.13 ],0.695912280811802,0.695912280811802,YES,30,77,3,13,0.0204398,0.0499549,0,0
44,6,[6 5 7 11 8 3],[2.32 0.40 0.50 1.84 0.72 2.11 ],3.44085658724492,NaN,N/A,521,5442,63,0,1.0632745,30.000111,0,1
45,4,[4 12 1 8],[0.12 2.28 0.69 0.27 ],1.37913385532283,1.37913385532283,YES,54,100,10,27,0.0570723,0.0577994,0,0
