seed,qp_min,qp_cost,k_qp,gr_min,gr_cost,k_gr,speedup
201,0.064790,1.390188,19,0.579555,1.390189,19,8.9451
202,0.001621,0.000000,1,0.014090,0.000000,1,8.6936
203,0.000933,0.000000,1,0.014512,0.000000,1,15.5592
204,0.036370,0.036955,34,0.458172,0.036955,34,12.5977
205,0.041495,0.036953,34,0.552631,0.036955,34,13.3179
206,0.020719,0.097532,22,0.302964,0.097533,22,14.6228
207,0.044418,2.458681,24,0.536406,2.458691,24,12.0762
208,0.022031,1.272923,20,0.290705,1.272923,20,13.1954
209,0.016135,0.757249,15,0.232945,0.757249,15,14.4370
210,0.001020,0.000000,1,0.014524,0.000000,1,14.2442
211,0.018212,0.481656,18,0.294544,0.481656,18,16.1733
212,0.090024,1.104776,47,1.208333,1.104803,47,13.4223
213,0.041637,2.597352,24,0.588649,2.597351,24,14.1377
214,0.000833,0.000000,1,0.012710,0.000000,1,15.2512
215,0.000694,0.000000,1,0.013640,0.000000,1,19.6498
216,0.000735,0.000000,1,0.014988,0.000000,1,20.3827
217,0.017843,0.295329,17,0.273802,0.295330,17,15.3454
218,0.021034,0.097797,22,0.300156,0.097797,22,14.2703
219,0.022735,1.203139,21,0.325793,1.203071,21,14.3298
220,0.013184,0.333450,13,0.219434,0.333451,13,16.6446
